,id,name,email,email_verified_at,password,remember_token,is_active,role,profile_photo_path,created_at,updated_at
0,12,Liliana Rodríguez,liliana.rodríguez@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-09-16,2024-09-28
1,13,Juan Ribera,juan.ribera@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-04-15,2023-04-25
2,14,Rosario Navarro,rosario.navarro@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-01-08,2024-02-03
3,15,Paola Nina,paola.nina@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-11-02,2024-11-08
4,16,Rosa Barrientos,rosa.barrientos@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-10-03,2023-10-30
5,17,Edgar Alarcón,edgar.alarcón@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-09-22,2023-10-19
6,18,Cristóbal Poma,cristóbal.poma@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-06-19,2024-07-01
7,19,Jessica Copa,jessica.copa@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2025-03-30,2025-04-14
8,20,Sandra Aramayo,sandra.aramayo@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-09-23,2024-10-17
9,21,Gabriela Pinto,gabriela.pinto@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-08-27,2023-09-12
10,22,Óscar Tórrez,óscar.tórrez@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-07-16,2024-08-01
11,23,Cecilia Salazar,cecilia.salazar@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-02-19,2023-02-19
12,24,Luis Peñaranda,luis.peñaranda@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-04-16,2024-05-15
13,25,Karen Copa,karen.copa@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-12-14,2024-01-11
14,26,Liliana Chura,liliana.chura@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-06-22,2024-07-09
15,27,Gonzalo Ibarra,gonzalo.ibarra@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-09-13,2024-10-11
16,28,Andrés Velasco,andrés.velasco@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-04-11,2024-04-23
17,29,Natalia Barrientos,natalia.barrientos@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-03-30,2023-04-04
18,30,Beatriz Aliaga,beatriz.aliaga@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-10-25,2023-10-29
19,31,Natalia Gutiérrez,natalia.gutiérrez@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-03-19,2023-04-05
20,32,Melva Flores,melva.flores@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-05-25,2024-06-07
21,33,Óscar Aramayo,óscar.aramayo@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-09-27,2023-10-23
22,34,Pedro Requena,pedro.requena@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2025-04-26,2025-05-24
23,35,Cristian Mamani,cristian.mamani@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-01-13,2023-02-11
24,36,Mateo Roca,mateo.roca@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-02-21,2024-03-06
25,37,Raúl Requena,raúl.requena@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-12-09,2025-01-05
26,38,Miriam Mollericona,miriam.mollericona@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-10-11,2024-11-09
27,39,Luis Suárez,luis.suárez@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-03-20,2024-04-08
28,40,Cristóbal Cortez,cristóbal.cortez@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-06-06,2024-06-16
29,41,Jessica Suárez,jessica.suárez@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-08-02,2023-08-08
30,42,Beatriz Rivera,beatriz.rivera@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-03-31,2023-04-16
31,43,Daniela Carrasco,daniela.carrasco@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-10-15,2023-10-30
32,44,Luis Ali,luis.ali@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-11-12,2024-11-17
33,45,Cristóbal Ortiz,cristóbal.ortiz@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-06-09,2024-06-25
34,46,Óscar Choque,óscar.choque@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-08-13,2024-08-19
35,47,Sandra Laura,sandra.laura@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-11-25,2023-12-21
36,48,Paola Velasco,paola.velasco@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-02-25,2023-03-18
37,49,Jhonny Flores,jhonny.flores@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-09-03,2023-10-03
38,50,Verónica Mamani,verónica.mamani@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-08-06,2024-08-12
39,51,Daniela Reyes,daniela.reyes@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-09-25,2024-10-25
40,52,Edgar Rivera,edgar.rivera@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2025-06-16,2025-07-15
41,53,Carmen Flores,carmen.flores@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-07-04,2023-07-08
42,54,Nelson Suárez,nelson.suárez@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-10-21,2023-11-07
43,55,Rosario Soria,rosario.soria@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-07-07,2024-07-27
44,56,Yolanda Choque,yolanda.choque@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-09-08,2024-09-21
45,57,Nelly Colque,nelly.colque@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-01-26,2024-02-25
46,58,Jimena Aramayo,jimena.aramayo@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-06-06,2024-06-22
47,59,Esther Laura,esther.laura@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-03-19,2024-04-17
48,60,Luis Maldonado,luis.maldonado@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-09-30,2023-10-01
49,61,Jorge Poma,jorge.poma@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-04-14,2023-04-18
50,62,Nelly Carrasco,nelly.carrasco@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-05-17,2024-06-02
51,63,Isabel Apaza,isabel.apaza@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2023-06-12,2023-06-25
52,64,Rosa Valencia,rosa.valencia@gmail.com,,$2y$12$gc3HNtOvW5ohrGh4TqXvheRM3HPWD/2GU8jLWE8JgoS8omT4BcaF6,,True,cliente,,2024-09-01,2024-09-11
